"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","","5:15 AM","5:59 AM","1:22 PM","2:00 PM","","6:00 PM","9:15 PM","","10:45 PM","1:55 PM","3:00 PM"
"2","","5:15 AM","6:00 AM","","2:00 PM","","6:00 PM","9:15 PM","","10:45 PM","1:55 PM","3:00 PM"
"3","","5:15 AM","6:00 AM","","2:00 PM","","6:00 PM","9:15 PM","","10:45 PM","1:55 PM","3:00 PM"
"4","","5:15 AM","6:01 AM","","2:00 PM","","6:00 PM","9:15 PM","","10:45 PM","1:55 PM","3:00 PM"
"5","","5:15 AM","6:01 AM","","2:00 PM","","6:00 PM","9:15 PM","","10:45 PM","1:55 PM","3:00 PM"
"6","","5:15 AM","6:02 AM","","2:00 PM","","6:00 PM","9:14 PM","","10:45 PM","1:55 PM","3:00 PM"
"7","","5:15 AM","6:03 AM","","2:00 PM","","6:00 PM","9:14 PM","","10:45 PM","1:55 PM","3:00 PM"
"8","","5:15 AM","6:03 AM","","2:00 PM","","6:00 PM","9:14 PM","","10:45 PM","1:55 PM","3:00 PM"
"9","","5:15 AM","6:04 AM","","2:00 PM","","6:00 PM","9:13 PM","","10:45 PM","1:55 PM","3:00 PM"
"10","","5:15 AM","6:05 AM","","2:00 PM","","6:00 PM","9:13 PM","","10:45 PM","1:55 PM","3:00 PM"
"11","","5:15 AM","6:05 AM","","2:00 PM","","6:00 PM","9:12 PM","","10:45 PM","1:55 PM","3:00 PM"
"12","","5:15 AM","6:06 AM","","2:00 PM","","6:00 PM","9:12 PM","","10:45 PM","1:55 PM","3:00 PM"
"13","","5:15 AM","6:07 AM","","2:00 PM","","6:00 PM","9:11 PM","","10:45 PM","1:55 PM","3:00 PM"
"14","","5:15 AM","6:08 AM","","2:00 PM","","6:00 PM","9:11 PM","","10:45 PM","1:55 PM","3:00 PM"
"15","","5:15 AM","6:08 AM","","2:00 PM","","6:00 PM","9:10 PM","","10:45 PM","1:55 PM","3:00 PM"
"16","","5:15 AM","6:09 AM","","2:00 PM","","6:00 PM","9:09 PM","","10:45 PM","1:55 PM","3:00 PM"
"17","","5:15 AM","6:10 AM","","2:00 PM","","6:00 PM","9:09 PM","","10:45 PM","1:55 PM","3:00 PM"
"18","","5:15 AM","6:11 AM","","2:00 PM","","6:00 PM","9:08 PM","","10:45 PM","1:55 PM","3:00 PM"
"19","","5:15 AM","6:12 AM","","2:00 PM","","6:00 PM","9:07 PM","","10:45 PM","1:55 PM","3:00 PM"
"20","","5:15 AM","6:13 AM","","2:00 PM","","6:00 PM","9:06 PM","","10:30 PM","1:55 PM","3:00 PM"
"21","","5:15 AM","6:14 AM","","2:00 PM","","6:00 PM","9:06 PM","","10:30 PM","1:55 PM","3:00 PM"
"22","","5:15 AM","6:15 AM","","2:00 PM","","6:00 PM","9:05 PM","","10:30 PM","1:55 PM","3:00 PM"
"23","","5:15 AM","6:16 AM","","2:00 PM","","6:00 PM","9:04 PM","","10:30 PM","1:55 PM","3:00 PM"
"24","","5:15 AM","6:16 AM","","2:00 PM","","6:00 PM","9:03 PM","","10:30 PM","1:55 PM","3:00 PM"
"25","","5:15 AM","6:17 AM","","2:00 PM","","6:00 PM","9:02 PM","","10:30 PM","1:55 PM","3:00 PM"
"26","","5:15 AM","6:18 AM","","2:00 PM","","6:00 PM","9:01 PM","","10:30 PM","1:55 PM","3:00 PM"
"27","","5:15 AM","6:19 AM","","2:00 PM","","6:00 PM","9:00 PM","","10:30 PM","1:55 PM","3:00 PM"
"28","","5:15 AM","6:20 AM","","2:00 PM","","6:00 PM","8:59 PM","","10:30 PM","1:55 PM","3:00 PM"
"29","","5:15 AM","6:21 AM","","2:00 PM","","6:00 PM","8:58 PM","","10:30 PM","1:55 PM","3:00 PM"
"30","","5:15 AM","6:22 AM","","2:00 PM","","6:00 PM","8:57 PM","","10:30 PM","1:55 PM","3:00 PM"
"31","","5:15 AM","6:23 AM","","2:00 PM","","6:00 PM","8:56 PM","","10:30 PM","1:55 PM","3:00 PM"
