"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama"
"1","4:36 AM","5:30 AM","6:10 AM","1:26 PM","1:35 PM","6:31 PM","7:15 PM","8:41 PM","9:53 PM","10:15 PM","2:00 PM"
"2","4:37 AM","5:30 AM","6:11 AM","1:26 PM","1:35 PM","6:30 PM","7:15 PM","8:39 PM","9:52 PM","10:15 PM","2:00 PM"
"3","4:39 AM","5:30 AM","6:12 AM","1:26 PM","1:35 PM","6:29 PM","7:00 PM","8:38 PM","9:50 PM","10:00 PM","2:00 PM"
"4","4:40 AM","5:30 AM","6:13 AM","1:25 PM","1:35 PM","6:28 PM","7:00 PM","8:37 PM","9:48 PM","10:00 PM","2:00 PM"
"5","4:42 AM","5:30 AM","6:14 AM","1:25 PM","1:35 PM","6:27 PM","7:00 PM","8:36 PM","9:47 PM","10:00 PM","2:00 PM"
"6","4:43 AM","5:30 PM","6:16 AM","1:25 PM","1:35 PM","6:27 PM","7:00 PM","8:34 PM","9:45 PM","10:00 PM","2:00 PM"
"7","4:45 AM","5:30 PM","6:17 AM","1:25 PM","1:35 PM","6:26 PM","7:00 PM","8:33 PM","9:44 PM","10:00 PM","2:00 PM"
"8","4:46 AM","5:30 PM","6:18 AM","1:25 PM","1:35 PM","6:25 PM","7:00 PM","8:32 PM","9:42 PM","10:00 PM","2:00 PM"
"9","4:48 AM","5:30 PM","6:19 AM","1:25 PM","1:35 PM","6:24 PM","7:00 PM","8:30 PM","9:40 PM","10:00 PM","2:00 PM"
"10","4:49 AM","5:30 PM","6:20 AM","1:25 PM","1:35 PM","6:23 PM","7:00 PM","8:29 PM","9:38 PM","10:00 PM","2:00 PM"
"11","4:51 AM","5:30 AM","6:21 AM","1:24 PM","1:35 PM","6:22 PM","6:30 PM","8:27 PM","9:37 PM","10:00 PM","2:00 PM"
"12","4:52 AM","5:30 AM","6:22 AM","1:24 PM","1:35 PM","6:21 PM","6:30 PM","8:26 PM","9:35 PM","10:00 PM","2:00 PM"
"13","4:54 AM","5:30 AM","6:23 AM","1:24 PM","1:35 PM","6:20 PM","6:30 PM","8:24 PM","9:33 PM","9:45 PM","2:00 PM"
"14","4:55 AM","5:30 AM","6:24 AM","1:24 PM","1:35 PM","6:19 PM","6:45 PM","8:23 PM","9:31 PM","9:45 PM","2:00 PM"
"15","4:57 AM","5:30 AM","6:25 AM","1:24 PM","1:35 PM","6:18 PM","6:45 PM","8:21 PM","9:30 PM","9:45 PM","2:00 PM"
"16","4:58 AM","5:30 AM","6:26 AM","1:24 PM","1:35 PM","6:17 PM","6:45 PM","8:20 PM","9:28 PM","9:45 PM","2:00 PM"
"17","5:00 AM","5:45 AM","6:28 AM","1:23 PM","1:35 PM","6:16 PM","6:30 PM","8:18 PM","9:26 PM","9:45 PM","2:00 PM"
"18","5:01 AM","5:45 AM","6:29 AM","1:23 PM","1:35 PM","6:15 PM","6:30 PM","8:17 PM","9:24 PM","9:45 PM","2:00 PM"
"19","5:03 AM","5:45 AM","6:30 AM","1:23 PM","1:35 PM","6:14 PM","6:30 PM","8:15 PM","9:22 PM","9:45 PM","2:00 PM"
"20","5:04 AM","5:45 AM","6:31 AM","1:23 PM","1:35 PM","6:12 PM","6:30 PM","8:14 PM","9:21 PM","9:50 PM","1:30 PM"
"21","5:06 AM","5:45 AM","6:32 AM","1:22 PM","1:35 PM","6:11 PM","6:30 PM","8:12 PM","9:19 PM","9:50 PM","1:30 PM"
"22","5:07 AM","5:45 AM","6:33 AM","1:22 PM","1:35 PM","6:10 PM","6:30 PM","8:10 PM","9:17 PM","9:50 PM","1:30 PM"
"23","5:09 AM","6:00 AM","6:34 AM","1:22 PM","1:35 PM","6:09 PM","6:15 PM","8:09 PM","9:15 PM","9:30 PM","1:30 PM"
"24","5:10 AM","6:00 AM","6:35 AM","1:22 PM","1:35 PM","6:08 PM","6:15 PM","8:07 PM","9:13 PM","9:30 PM","2:00 PM"
"25","5:12 AM","6:00 AM","6:36 AM","1:21 PM","1:35 PM","6:06 PM","6:15 PM","8:05 PM","9:11 PM","9:30 PM","2:00 PM"
"26","5:13 AM","6:00 AM","6:37 AM","1:21 PM","1:35 PM","6:05 PM","6:15 PM","8:04 PM","9:09 PM","9:30 PM","2:00 PM"
"27","5:14 AM","6:00 AM","6:39 AM","1:21 PM","1:35 PM","6:04 PM","6:15 PM","8:02 PM","9:07 PM","9:30 PM","2:00 PM"
"28","5:16 AM","6:00 AM","6:40 AM","1:20 PM","1:35 PM","6:03 PM","6:15 PM","8:00 PM","9:06 PM","9:30 PM","2:00 PM"
"29","5:17 AM","6:00 AM","6:41 AM","1:20 PM","1:35 PM","6:01 PM","6:15 PM","7:59 PM","9:04 PM","9:30 PM","2:00 PM"
"30","5:19 AM","6:00 AM","6:42 AM","1:20 PM","1:35 PM","6:00 PM","6:15 PM","7:57 PM","9:02 PM","9:30 PM","2:00 PM"
"31","5:20 AM","6:00 AM","6:43 AM","1:19 PM","1:35 PM","5:59 PM","6:15 PM","7:55 PM","9:00 PM","9:30 PM","2:00 PM"
