"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","4:39 AM","5:15 AM","6:07 AM","1:15 PM","2:00 PM","6:13 PM","6:30 PM","8:22 PM","9:40 PM","10:00 PM","2:10 PM","3:30 PM"
"2","4:37 AM","5:15 AM","6:06 AM","1:15 PM","2:00 PM","6:14 PM","6:30 PM","8:23 PM","9:42 PM","10:00 PM","2:10 PM","3:30 PM"
"3","4:35 AM","5:15 AM","6:05 AM","1:15 PM","2:00 PM","6:14 PM","6:30 PM","8:25 PM","9:43 PM","10:00 PM","2:10 PM","3:30 PM"
"4","4:34 AM","5:15 AM","6:03 AM","1:14 PM","2:00 PM","6:15 PM","6:30 PM","8:26 PM","9:45 PM","10:00 PM","2:10 PM","3:30 PM"
"5","4:32 AM","5:15 AM","6:02 AM","1:14 PM","2:00 PM","6:16 PM","6:30 PM","8:27 PM","9:47 PM","10:00 PM","2:10 PM","3:30 PM"
"6","4:30 AM","4:40 AM","6:01 AM","1:14 PM","2:00 PM","6:16 PM","6:30 PM","8:28 PM","9:48 PM","10:00 PM","2:10 PM","3:30 PM"
"7","4:28 AM","4:38 AM","6:00 AM","1:14 PM","2:00 PM","6:17 PM","6:30 PM","8:29 PM","9:50 PM","10:01 PM","2:10 PM","3:30 PM"
"8","4:26 AM","4:36 AM","5:58 AM","1:14 PM","2:00 PM","6:18 PM","6:30 PM","8:30 PM","9:51 PM","10:02 PM","2:10 PM","3:30 PM"
"9","4:25 AM","4:35 AM","5:57 AM","1:14 PM","2:00 PM","6:18 PM","6:30 PM","8:32 PM","9:53 PM","10:04 PM","2:10 PM","3:30 PM"
"10","4:23 AM","4:33 AM","5:56 AM","1:14 PM","2:00 PM","6:19 PM","6:30 PM","8:33 PM","9:54 PM","10:05 PM","2:10 PM","3:30 PM"
"11","4:21 AM","4:31 AM","5:55 AM","1:14 PM","2:00 PM","6:20 PM","6:30 PM","8:34 PM","9:56 PM","10:07 PM","2:10 PM","3:30 PM"
"12","4:20 AM","4:30 AM","5:54 AM","1:14 PM","2:00 PM","6:20 PM","6:45 PM","8:35 PM","9:57 PM","10:08 PM","2:10 PM","3:30 PM"
"13","4:18 AM","4:28 AM","5:52 AM","1:14 PM","2:00 PM","6:21 PM","6:45 PM","8:36 PM","9:59 PM","10:10 PM","2:10 PM","3:30 PM"
"14","4:16 AM","4:26 AM","5:51 AM","1:14 PM","2:00 PM","6:22 PM","6:45 PM","8:37 PM","10:00 PM","10:12 PM","2:10 PM","3:30 PM"
"15","4:15 AM","4:25 AM","5:50 AM","1:14 PM","2:00 PM","6:22 PM","6:45 PM","8:38 PM","10:02 PM","10:13 PM","2:10 PM","3:30 PM"
"16","4:13 AM","4:23 AM","5:49 AM","1:14 PM","2:00 PM","6:23 PM","6:45 PM","8:39 PM","10:03 PM","10:15 PM","2:10 PM","3:30 PM"
"17","4:12 AM","4:22 AM","5:48 AM","1:14 PM","2:00 PM","6:24 PM","6:45 PM","8:40 PM","10:05 PM","10:16 PM","2:10 PM","3:30 PM"
"18","4:10 AM","4:20 AM","5:47 AM","1:14 PM","2:00 PM","6:24 PM","6:45 PM","8:42 PM","10:06 PM","10:18 PM","2:10 PM","3:30 PM"
"19","4:09 AM","4:19 AM","5:46 AM","1:14 PM","2:00 PM","6:25 PM","6:45 PM","8:43 PM","10:08 PM","10:20 PM","2:10 PM","3:30 PM"
"20","4:07 AM","4:17 AM","5:45 AM","1:14 PM","2:00 PM","6:25 PM","6:45 PM","8:44 PM","10:09 PM","10:21 PM","2:10 PM","3:30 PM"
"21","4:06 AM","4:16 AM","5:44 AM","1:14 PM","2:00 PM","6:26 PM","6:45 PM","8:45 PM","10:11 PM","10:23 PM","2:10 PM","3:30 PM"
"22","4:04 AM","4:14 AM","5:44 AM","1:14 PM","2:00 PM","6:27 PM","6:45 PM","8:46 PM","10:12 PM","10:24 PM","2:10 PM","3:30 PM"
"23","4:03 AM","4:13 AM","5:43 AM","1:14 PM","2:00 PM","6:27 PM","6:45 PM","8:47 PM","10:14 PM","10:26 PM","2:10 PM","3:30 PM"
"24","4:02 AM","4:12 AM","5:42 AM","1:14 PM","2:00 PM","6:28 PM","6:45 PM","8:48 PM","10:15 PM","10:27 PM","2:10 PM","3:30 PM"
"25","4:01 AM","4:11 AM","5:41 AM","1:15 PM","2:00 PM","6:28 PM","6:45 PM","8:49 PM","10:16 PM","10:29 PM","2:10 PM","3:30 PM"
"26","3:59 AM","4:09 AM","5:40 AM","1:15 PM","2:00 PM","6:29 PM","7:00 PM","8:50 PM","10:18 PM","10:30 PM","2:10 PM","3:30 PM"
"27","3:58 AM","4:08 AM","5:40 AM","1:15 PM","2:00 PM","6:30 PM","7:00 PM","8:51 PM","10:19 PM","10:31 PM","2:10 PM","3:30 PM"
"28","3:57 AM","4:07 AM","5:39 AM","1:15 PM","2:00 PM","6:30 PM","7:00 PM","8:52 PM","10:20 PM","10:33 PM","2:10 PM","3:30 PM"
"29","3:56 AM","4:06 AM","5:38 AM","1:15 PM","2:00 PM","6:31 PM","7:00 PM","8:52 PM","10:22 PM","10:34 PM","2:10 PM","3:30 PM"
"30","3:55 AM","4:05 AM","5:37 AM","1:15 PM","2:00 PM","6:31 PM","7:00 PM","8:53 PM","10:23 PM","10:36 PM","2:10 PM","3:30 PM"
"31","3:54 AM","4:04 AM","5:36 AM","1:15 PM","2:00 PM","6:32 PM","7:00 PM","8:54 PM","10:24 PM","10:37 PM","2:10 PM","3:30 PM"
