"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","6:00 AM","6:30 AM","7:18 AM","1:11 PM","2:00 PM","5:15 PM","5:30 PM","7:05 PM","8:21 PM","8:45 PM","2:00 PM",""
"2","6:01 AM","6:30 AM","7:19 AM","1:10 PM","2:00 PM","5:14 PM","5:30 PM","7:03 PM","8:19 PM","8:45 PM","2:00 PM",""
"3","6:02 AM","6:30 AM","7:21 AM","1:10 PM","2:00 PM","5:12 PM","5:30 PM","7:01 PM","8:17 PM","8:45 PM","2:00 PM",""
"4","6:03 AM","6:30 AM","7:22 AM","1:10 PM","2:00 PM","5:11 PM","5:30 PM","6:59 PM","8:15 PM","8:45 PM","2:00 PM",""
"5","6:05 AM","6:30 AM","7:23 AM","1:10 PM","2:00 PM","5:09 PM","5:30 PM","6:57 PM","8:14 PM","8:45 PM","2:00 PM",""
"6","6:06 AM","6:30 AM","7:24 AM","1:09 PM","2:00 PM","5:08 PM","5:30 PM","6:56 PM","8:12 PM","8:45 PM","2:00 PM",""
"7","6:07 AM","6:30 AM","7:25 AM","1:09 PM","2:00 PM","5:06 PM","5:30 PM","6:54 PM","8:10 PM","8:45 PM","2:00 PM",""
"8","6:08 AM","6:30 AM","7:26 AM","1:09 PM","2:00 PM","5:04 PM","5:30 PM","6:52 PM","8:08 PM","8:45 PM","2:00 PM",""
"9","6:09 AM","6:30 AM","7:28 AM","1:08 PM","2:00 PM","5:03 PM","5:30 PM","6:50 PM","8:07 PM","8:45 PM","2:00 PM",""
"10","6:11 AM","6:30 AM","7:29 AM","1:08 PM","2:00 PM","5:01 PM","5:30 PM","6:49 PM","8:05 PM","8:45 PM","2:00 PM",""
"11","6:12 AM","6:45 AM","7:30 AM","1:08 PM","2:00 PM","5:00 PM","5:15 PM","6:47 PM","8:03 PM","8:15 PM","2:00 PM",""
"12","6:13 AM","6:45 AM","7:31 AM","1:08 PM","2:00 PM","4:58 PM","5:15 PM","6:45 PM","8:02 PM","8:15 PM","2:00 PM",""
"13","6:14 AM","6:45 AM","7:32 AM","1:07 PM","2:00 PM","4:57 PM","5:15 PM","6:44 PM","8:00 PM","8:15 PM","2:00 PM",""
"14","6:15 AM","6:45 AM","7:34 AM","1:07 PM","2:00 PM","4:55 PM","5:15 PM","6:42 PM","7:58 PM","8:15 PM","2:00 PM",""
"15","6:16 AM","6:45 AM","7:35 AM","1:07 PM","2:00 PM","4:54 PM","5:15 PM","6:40 PM","7:57 PM","8:15 PM","2:00 PM",""
"16","6:17 AM","6:45 AM","7:36 AM","1:07 PM","2:00 PM","4:52 PM","5:15 PM","6:39 PM","7:55 PM","8:15 PM","2:00 PM",""
"17","6:19 AM","6:45 AM","7:37 AM","1:06 PM","2:00 PM","4:51 PM","5:15 PM","6:37 PM","7:54 PM","8:15 PM","2:00 PM",""
"18","6:20 AM","6:45 AM","7:38 AM","1:06 PM","2:00 PM","4:49 PM","5:15 PM","6:35 PM","7:52 PM","8:15 PM","2:00 PM",""
"19","6:21 AM","6:45 AM","7:40 AM","1:06 PM","2:00 PM","4:48 PM","5:15 PM","6:34 PM","7:50 PM","8:15 PM","2:00 PM",""
"20","6:22 AM","6:45 AM","7:41 AM","1:06 PM","2:00 PM","4:46 PM","5:15 PM","6:32 PM","7:49 PM","8:15 PM","2:00 PM",""
"21","6:23 AM","6:50 AM","7:42 AM","1:06 PM","2:00 PM","4:45 PM","5:15 PM","6:31 PM","7:47 PM","8:00 PM","2:00 PM",""
"22","6:24 AM","6:50 AM","7:43 AM","1:06 PM","2:00 PM","4:43 PM","5:15 PM","6:29 PM","7:46 PM","8:00 PM","2:00 PM",""
"23","6:26 AM","6:50 AM","7:45 AM","1:05 PM","2:00 PM","4:42 PM","5:15 PM","6:28 PM","7:45 PM","8:00 PM","2:00 PM",""
"24","6:27 AM","6:50 AM","7:46 AM","1:05 PM","2:00 PM","4:40 PM","5:15 PM","6:26 PM","7:43 PM","8:00 PM","2:00 PM",""
"25","6:28 AM","6:50 AM","7:47 AM","1:05 PM","2:00 PM","4:39 PM","5:15 PM","6:25 PM","7:42 PM","8:00 PM","2:00 PM",""
"26","6:29 AM","6:50 AM","7:48 AM","1:05 PM","2:00 PM","4:38 PM","5:15 PM","6:23 PM","7:40 PM","8:00 PM","2:00 PM",""
"27","6:30 AM","6:50 AM","7:50 AM","1:05 PM","2:00 PM","4:36 PM","5:15 PM","6:22 PM","7:39 PM","8:00 PM","2:00 PM",""
"28","6:31 AM","6:50 AM","7:51 AM","1:05 PM","2:00 PM","4:35 PM","5:15 PM","6:20 PM","7:38 PM","8:00 PM","2:00 PM",""
"29","6:33 AM","6:50 AM","7:52 AM","1:05 PM","2:00 PM","4:34 PM","5:15 PM","6:19 PM","7:36 PM","8:00 PM","2:00 PM",""
"30","6:34 AM","6:50 AM","7:54 AM","1:05 PM","2:00 PM","4:32 PM","5:15 PM","6:17 PM","7:35 PM","8:00 PM","2:00 PM",""
"31","6:35 AM","6:50 AM","7:55 AM","1:05 PM","2:00 PM","4:31 PM","5:15 PM","6:16 PM","7:34 PM","8:00 PM","2:00 PM",""
