"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama"
"1","3:51 AM","5:30 am","5:41 AM","1:22 PM","1:40 PM","6:42 PM","6:40 PM","9:04 PM","10:53 PM","10:20 Pm","2:00 PM"
"2","3:52 AM","5:30 am","5:41 AM","1:22 PM","1:40 PM","6:42 PM","6:40 PM","9:03 PM","10:53 PM","10:20 Pm","2:00 PM"
"3","3:53 AM","5:30 am","5:42 AM","1:23 PM","1:40 PM","6:42 PM","6:40 PM","9:03 PM","10:52 PM","10:20 Pm","2:00 PM"
"4","3:54 AM","5:30 am","5:42 AM","1:23 PM","1:40 PM","6:42 PM","6:40 PM","9:03 PM","10:51 PM","10:20 Pm","2:00 PM"
"5","3:55 AM","5:30 am","5:43 AM","1:23 PM","1:40 PM","6:41 PM","6:40 PM","9:03 PM","10:51 PM","10:20 Pm","2:00 PM"
"6","3:56 AM","5:30 am","5:44 AM","1:23 PM","1:40 PM","6:41 PM","6:40 PM","9:02 PM","10:50 PM","10:20 Pm","2:00 PM"
"7","3:57 AM","5:30 am","5:44 AM","1:23 PM","1:40 PM","6:41 PM","6:40 PM","9:02 PM","10:49 PM","10:20 Pm","2:00 PM"
"8","3:58 AM","5:30 am","5:45 AM","1:23 PM","1:40 PM","6:41 PM","6:40 PM","9:01 PM","10:48 PM","10:20 Pm","2:00 PM"
"9","3:59 AM","5:30 am","5:46 AM","1:24 PM","1:40 PM","6:41 PM","6:40 PM","9:01 PM","10:48 PM","10:20 Pm","2:00 PM"
"10","4:00 AM","5:30 am","5:47 AM","1:24 PM","1:40 PM","6:41 PM","6:40 PM","9:00 PM","10:47 PM","10:20 Pm","2:00 PM"
"11","4:01 AM","5:30 am","5:47 AM","1:24 PM","1:40 PM","6:40 PM","6:40 PM","9:00 PM","10:46 PM","10:20 Pm","2:00 PM"
"12","4:03 AM","5:30 am","5:48 AM","1:24 PM","1:40 PM","6:40 PM","6:40 PM","8:59 PM","10:45 PM","10:20 Pm","2:00 PM"
"13","4:04 AM","5:30 am","5:49 AM","1:24 PM","1:40 PM","6:40 PM","6:40 PM","8:59 PM","10:44 PM","10:20 Pm","2:00 PM"
"14","4:05 AM","5:30 am","5:50 AM","1:24 PM","1:40 PM","6:40 PM","6:40 PM","8:58 PM","10:43 PM","10:20 Pm","2:00 PM"
"15","4:07 AM","5:30 am","5:51 AM","1:24 PM","1:40 PM","6:39 PM","6:40 PM","8:57 PM","10:41 PM","10:20 Pm","2:00 PM"
"16","4:08 AM","5:30 am","5:52 AM","1:24 PM","1:40 PM","6:39 PM","6:40 PM","8:57 PM","10:40 PM","10:20 Pm","2:00 PM"
"17","4:09 AM","5:30 am","5:53 AM","1:24 PM","1:40 PM","6:39 PM","6:40 PM","8:56 PM","10:39 PM","10:20 Pm","2:00 PM"
"18","4:11 AM","5:30 am","5:54 AM","1:25 PM","1:40 PM","6:38 PM","6:40 PM","8:55 PM","10:38 PM","10:20 Pm","2:00 PM"
"19","4:12 AM","5:30 am","5:55 AM","1:25 PM","1:40 PM","6:38 PM","6:40 PM","8:54 PM","10:36 PM","10:20 Pm","2:00 PM"
"20","4:14 AM","5:30 am","5:55 AM","1:25 PM","1:40 PM","6:37 PM","6:40 PM","8:53 PM","10:35 PM","10:20 Pm","2:00 PM"
"21","4:15 AM","5:30 am","5:56 AM","1:25 PM","1:40 PM","6:37 PM","6:40 PM","8:53 PM","10:34 PM","10:20 Pm","2:00 PM"
"22","4:17 AM","5:30 am","5:57 AM","1:25 PM","1:40 PM","6:36 PM","6:40 PM","8:52 PM","10:32 PM","10:20 Pm","2:00 PM"
"23","4:18 AM","5:30 am","5:58 AM","1:25 PM","1:40 PM","6:36 PM","6:40 PM","8:51 PM","10:31 PM","10:20 Pm","2:00 PM"
"24","4:20 AM","5:30 am","5:59 AM","1:25 PM","1:40 PM","6:35 PM","6:40 PM","8:50 PM","10:29 PM","10:20 Pm","2:00 PM"
"25","4:21 AM","5:30 am","6:00 AM","1:25 PM","1:40 PM","6:35 PM","6:40 PM","8:49 PM","10:28 PM","10:20 Pm","2:00 PM"
"26","4:23 AM","5:30 am","6:01 AM","1:25 PM","1:40 PM","6:34 PM","6:40 PM","8:48 PM","10:26 PM","10:20 Pm","2:00 PM"
"27","4:24 AM","5:30 am","6:02 AM","1:25 PM","1:40 PM","6:33 PM","6:40 PM","8:47 PM","10:25 PM","10:20 Pm","2:00 PM"
"28","4:26 AM","5:30 am","6:04 AM","1:25 PM","1:40 PM","6:33 PM","6:40 PM","8:45 PM","10:23 PM","10:20 Pm","2:00 PM"
"29","4:27 AM","5:30 am","6:05 AM","1:25 PM","1:40 PM","6:32 PM","6:40 PM","8:44 PM","10:21 PM","10:20 Pm","2:00 PM"
"30","4:29 AM","5:30 am","6:06 AM","1:25 PM","1:40 PM","6:31 PM","6:40 PM","8:43 PM","10:20 PM","10:20 Pm","2:00 PM"
"31","4:30 AM","5:30 am","6:07 AM","1:25 PM","1:40 PM","6:31 PM","6:40 PM","8:42 PM","10:18 PM","10:20 Pm","2:00 PM"
