"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama"
"1","3:53 AM","5:30 am","5:39 AM","1:16 PM","1:40 PM","6:33 PM","6:40 PM","8:54 PM","10:40 PM","10:20 Pm","2:00 PM"
"2","3:52 AM","5:30 am","5:39 AM","1:16 PM","1:40 PM","6:34 PM","6:40 PM","8:54 PM","10:41 PM","10:20 Pm","2:00 PM"
"3","3:51 AM","5:30 am","5:38 AM","1:17 PM","1:40 PM","6:34 PM","6:40 PM","8:55 PM","10:43 PM","10:20 Pm","2:00 PM"
"4","3:50 AM","5:30 am","5:38 AM","1:17 PM","1:40 PM","6:35 PM","6:40 PM","8:56 PM","10:44 PM","10:20 Pm","2:00 PM"
"5","3:50 AM","5:30 am","5:37 AM","1:17 PM","1:40 PM","6:35 PM","6:40 PM","8:57 PM","10:45 PM","10:20 Pm","2:00 PM"
"6","3:49 AM","5:30 am","5:37 AM","1:17 PM","1:40 PM","6:36 PM","6:40 PM","8:57 PM","10:46 PM","10:20 Pm","2:00 PM"
"7","3:48 AM","5:30 am","5:37 AM","1:17 PM","1:40 PM","6:36 PM","6:40 PM","8:58 PM","10:47 PM","10:20 Pm","2:00 PM"
"8","3:48 AM","5:30 am","5:37 AM","1:17 PM","1:40 PM","6:37 PM","6:40 PM","8:58 PM","10:48 PM","10:20 Pm","2:00 PM"
"9","3:47 AM","5:30 am","5:36 AM","1:18 PM","1:40 PM","6:37 PM","6:40 PM","8:59 PM","10:48 PM","10:20 Pm","2:00 PM"
"10","3:47 AM","5:30 am","5:36 AM","1:18 PM","1:40 PM","6:37 PM","6:40 PM","9:00 PM","10:49 PM","10:20 Pm","2:00 PM"
"11","3:46 AM","5:30 am","5:36 AM","1:18 PM","1:40 PM","6:38 PM","6:40 PM","9:00 PM","10:50 PM","10:20 Pm","2:00 PM"
"12","3:46 AM","5:30 am","5:36 AM","1:18 PM","1:40 PM","6:38 PM","6:40 PM","9:01 PM","10:51 PM","10:20 Pm","2:00 PM"
"13","3:46 AM","5:30 am","5:36 AM","1:18 PM","1:40 PM","6:38 PM","6:40 PM","9:01 PM","10:51 PM","10:20 Pm","2:00 PM"
"14","3:46 AM","5:30 am","5:36 AM","1:19 PM","1:40 PM","6:39 PM","6:40 PM","9:02 PM","10:52 PM","10:20 Pm","2:00 PM"
"15","3:45 AM","5:30 am","5:36 AM","1:19 PM","1:40 PM","6:39 PM","6:40 PM","9:02 PM","10:53 PM","10:20 Pm","2:00 PM"
"16","3:45 AM","5:30 am","5:36 AM","1:19 PM","1:40 PM","6:39 PM","6:40 PM","9:02 PM","10:53 PM","10:20 Pm","2:00 PM"
"17","3:45 AM","5:30 am","5:36 AM","1:19 PM","1:40 PM","6:40 PM","6:40 PM","9:03 PM","10:53 PM","10:20 Pm","2:00 PM"
"18","3:45 AM","5:30 am","5:36 AM","1:20 PM","1:40 PM","6:40 PM","6:40 PM","9:03 PM","10:54 PM","10:20 Pm","2:00 PM"
"19","3:45 AM","5:30 am","5:36 AM","1:20 PM","1:40 PM","6:40 PM","6:40 PM","9:03 PM","10:54 PM","10:20 Pm","2:00 PM"
"20","3:46 AM","5:30 am","5:36 AM","1:20 PM","1:40 PM","6:40 PM","6:40 PM","9:04 PM","10:54 PM","10:20 Pm","2:00 PM"
"21","3:46 AM","5:30 am","5:37 AM","1:20 PM","1:40 PM","6:41 PM","6:40 PM","9:04 PM","10:55 PM","10:20 Pm","2:00 PM"
"22","3:46 AM","5:30 am","5:37 AM","1:20 PM","1:40 PM","6:41 PM","6:40 PM","9:04 PM","10:55 PM","10:20 Pm","2:00 PM"
"23","3:46 AM","5:30 am","5:37 AM","1:21 PM","1:40 PM","6:41 PM","6:40 PM","9:04 PM","10:55 PM","10:20 Pm","2:00 PM"
"24","3:47 AM","5:30 am","5:38 AM","1:21 PM","1:40 PM","6:41 PM","6:40 PM","9:04 PM","10:55 PM","10:20 Pm","2:00 PM"
"25","3:47 AM","5:30 am","5:38 AM","1:21 PM","1:40 PM","6:41 PM","6:40 PM","9:04 PM","10:55 PM","10:20 Pm","2:00 PM"
"26","3:48 AM","5:30 am","5:38 AM","1:21 PM","1:40 PM","6:41 PM","6:40 PM","9:04 PM","10:55 PM","10:20 Pm","2:00 PM"
"27","3:48 AM","5:30 am","5:39 AM","1:21 PM","1:40 PM","6:41 PM","6:40 PM","9:04 PM","10:54 PM","10:20 Pm","2:00 PM"
"28","3:49 AM","5:30 am","5:39 AM","1:22 PM","1:40 PM","6:42 PM","6:40 PM","9:04 PM","10:54 PM","10:20 Pm","2:00 PM"
"29","3:50 AM","5:30 am","5:40 AM","1:22 PM","1:40 PM","6:42 PM","6:40 PM","9:04 PM","10:54 PM","10:20 Pm","2:00 PM"
"30","3:50 AM","5:30 am","5:40 AM","1:22 PM","1:40 PM","6:42 PM","6:40 PM","9:04 PM","10:53 PM","10:20 Pm","2:00 PM"
