"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama"
"1","5:38 AM","6:30 am","6:59 AM","1:22 PM","1:40 PM","5:52 PM","5:20 PM","7:46 PM","9:07 PM","8:50 Pm","2:00 PM"
"2","5:36 AM","6:30 am","6:57 AM","1:22 PM","1:40 PM","5:52 PM","5:20 PM","7:47 PM","9:08 PM","8:50 Pm","2:00 PM"
"3","5:34 AM","6:30 am","6:55 AM","1:21 PM","1:40 PM","5:53 PM","5:20 PM","7:48 PM","9:10 PM","8:50 Pm","2:00 PM"
"4","5:32 AM","6:30 am","6:54 AM","1:21 PM","1:40 PM","5:54 PM","5:20 PM","7:49 PM","9:11 PM","8:50 Pm","2:00 PM"
"5","5:30 AM","6:30 am","6:52 AM","1:21 PM","1:40 PM","5:55 PM","5:20 PM","7:50 PM","9:13 PM","8:50 Pm","2:00 PM"
"6","5:28 AM","6:30 am","6:50 AM","1:20 PM","1:40 PM","5:56 PM","5:20 PM","7:52 PM","9:14 PM","8:50 Pm","2:00 PM"
"7","5:26 AM","6:30 am","6:48 AM","1:20 PM","1:40 PM","5:56 PM","5:20 PM","7:53 PM","9:16 PM","8:50 Pm","2:00 PM"
"8","5:24 AM","6:30 am","6:47 AM","1:20 PM","1:40 PM","5:57 PM","5:20 PM","7:54 PM","9:17 PM","8:50 Pm","2:00 PM"
"9","5:22 AM","6:30 am","6:45 AM","1:20 PM","1:40 PM","5:58 PM","5:20 PM","7:55 PM","9:19 PM","8:50 Pm","2:00 PM"
"10","5:20 AM","6:30 am","6:43 AM","1:19 PM","1:40 PM","5:59 PM","5:20 PM","7:56 PM","9:20 PM","8:50 Pm","2:00 PM"
"11","5:18 AM","6:30 am","6:41 AM","1:19 PM","1:40 PM","6:00 PM","5:20 PM","7:58 PM","9:22 PM","8:50 Pm","2:00 PM"
"12","5:16 AM","6:30 am","6:40 AM","1:19 PM","1:40 PM","6:00 PM","5:20 PM","7:59 PM","9:23 PM","8:50 Pm","2:00 PM"
"13","5:14 AM","6:30 am","6:38 AM","1:19 PM","1:40 PM","6:01 PM","5:20 PM","8:00 PM","9:25 PM","8:50 Pm","2:00 PM"
"14","5:12 AM","6:30 am","6:36 AM","1:18 PM","1:40 PM","6:02 PM","5:20 PM","8:01 PM","9:26 PM","9:30 Pm","2:00 PM"
"15","5:10 AM","6:30 am","6:35 AM","1:18 PM","1:40 PM","6:03 PM","5:20 PM","8:02 PM","9:28 PM","9:30 Pm","2:00 PM"
"16","5:08 AM","5:45 am","6:33 AM","1:18 PM","1:40 PM","6:03 PM","6:20 PM","8:04 PM","9:29 PM","9:40 Pm","2:00 PM"
"17","5:06 AM","5:45 am","6:31 AM","1:18 PM","1:40 PM","6:04 PM","6:20 PM","8:05 PM","9:31 PM","9:40 Pm","2:00 PM"
"18","5:04 AM","5:45 am","6:30 AM","1:17 PM","1:40 PM","6:05 PM","6:20 PM","8:06 PM","9:32 PM","9:40 Pm","2:00 PM"
"19","5:02 AM","5:45 am","6:28 AM","1:17 PM","1:40 PM","6:06 PM","6:20 PM","8:07 PM","9:34 PM","9:40 Pm","2:00 PM"
"20","5:00 AM","5:45 am","6:26 AM","1:17 PM","1:40 PM","6:06 PM","6:20 PM","8:08 PM","9:35 PM","9:40 Pm","2:00 PM"
"21","4:58 AM","5:45 am","6:25 AM","1:17 PM","1:40 PM","6:07 PM","6:20 PM","8:10 PM","9:37 PM","9:40 Pm","2:00 PM"
"22","4:56 AM","5:45 am","6:23 AM","1:17 PM","1:40 PM","6:08 PM","6:20 PM","8:11 PM","9:39 PM","9:40 Pm","2:00 PM"
"23","4:54 AM","5:30 am","6:22 AM","1:16 PM","1:40 PM","6:09 PM","6:40 PM","8:12 PM","9:40 PM","9:50 Pm","2:00 PM"
"24","4:52 AM","5:30 am","6:20 AM","1:16 PM","1:40 PM","6:09 PM","6:40 PM","8:13 PM","9:42 PM","9:50 Pm","2:00 PM"
"25","4:50 AM","5:30 am","6:19 AM","1:16 PM","1:40 PM","6:10 PM","6:40 PM","8:14 PM","9:43 PM","9:50 Pm","2:00 PM"
"26","4:48 AM","5:30 am","6:17 AM","1:16 PM","1:40 PM","6:11 PM","6:40 PM","8:16 PM","9:45 PM","9:50 Pm","2:00 PM"
"27","4:46 AM","5:30 am","6:16 AM","1:16 PM","1:40 PM","6:11 PM","6:40 PM","8:17 PM","9:47 PM","9:50 Pm","2:00 PM"
"28","4:44 AM","5:30 am","6:14 AM","1:16 PM","1:40 PM","6:12 PM","6:40 PM","8:18 PM","9:48 PM","9:50 Pm","2:00 PM"
"29","4:42 AM","5:30 am","6:13 AM","1:16 PM","1:40 PM","6:13 PM","6:40 PM","8:19 PM","9:50 PM","9:50 Pm","2:00 PM"
"30","4:40 AM","5:30 am","6:11 AM","1:15 PM","1:40 PM","6:14 PM","6:40 PM","8:20 PM","9:51 PM","9:50 Pm","2:00 PM"
