"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama","Jumah 2 Iqama"
"1","4:33 AM","5:30 AM","6:13 AM","1:23 PM","1:45 PM","6:16 PM","6:45 PM","8:26 PM","9:29 PM","10:00 PM","1:35 PM","3:35 PM"
"2","4:32 AM","5:30 AM","6:12 AM","1:23 PM","1:45 PM","6:17 PM","6:45 PM","8:28 PM","9:30 PM","10:00 PM","1:35 PM","3:35 PM"
"3","4:30 AM","5:30 AM","6:10 AM","1:23 PM","1:45 PM","6:18 PM","6:45 PM","8:29 PM","9:32 PM","10:00 PM","1:35 PM","3:35 PM"
"4","4:28 AM","5:30 AM","6:09 AM","1:23 PM","1:45 PM","6:18 PM","6:45 PM","8:30 PM","9:33 PM","10:00 PM","1:35 PM","3:35 PM"
"5","4:27 AM","5:30 AM","6:08 AM","1:23 PM","1:45 PM","6:19 PM","6:45 PM","8:31 PM","9:34 PM","10:00 PM","1:35 PM","3:35 PM"
"6","4:25 AM","4:45 AM","6:06 AM","1:23 PM","1:45 PM","6:20 PM","7:30 PM","8:32 PM","9:36 PM","10:00 PM","1:35 PM","3:35 PM"
"7","4:24 AM","4:45 AM","6:05 AM","1:23 PM","1:45 PM","6:20 PM","7:30 PM","8:33 PM","9:37 PM","10:00 PM","1:35 PM","3:35 PM"
"8","4:22 AM","4:45 AM","6:04 AM","1:23 PM","1:45 PM","6:21 PM","7:30 PM","8:34 PM","9:38 PM","10:00 PM","1:35 PM","3:35 PM"
"9","4:21 AM","4:45 AM","6:03 AM","1:23 PM","1:45 PM","6:22 PM","7:30 PM","8:35 PM","9:40 PM","10:00 PM","1:35 PM","3:35 PM"
"10","4:19 AM","4:45 AM","6:01 AM","1:22 PM","1:45 PM","6:22 PM","7:30 PM","8:36 PM","9:41 PM","10:00 PM","1:35 PM","3:35 PM"
"11","4:18 AM","4:45 AM","6:00 AM","1:22 PM","1:45 PM","6:23 PM","7:30 PM","8:37 PM","9:43 PM","10:00 PM","1:35 PM","3:35 PM"
"12","4:17 AM","4:45 AM","5:59 AM","1:22 PM","1:45 PM","6:24 PM","7:30 PM","8:39 PM","9:44 PM","10:00 PM","1:35 PM","3:35 PM"
"13","4:15 AM","4:45 AM","5:58 AM","1:22 PM","1:45 PM","6:24 PM","7:30 PM","8:40 PM","9:45 PM","10:00 PM","1:35 PM","3:35 PM"
"14","4:14 AM","4:45 AM","5:57 AM","1:22 PM","1:45 PM","6:25 PM","7:30 PM","8:41 PM","9:47 PM","10:00 PM","1:35 PM","3:35 PM"
"15","4:13 AM","4:45 AM","5:56 AM","1:22 PM","1:45 PM","6:26 PM","7:30 PM","8:42 PM","9:48 PM","10:00 PM","1:35 PM","3:35 PM"
"16","4:11 AM","4:30 AM","5:55 AM","1:22 PM","1:45 PM","6:26 PM","7:30 PM","8:43 PM","9:49 PM","10:00 PM","1:35 PM","3:35 PM"
"17","4:10 AM","4:30 AM","5:54 AM","1:22 PM","1:45 PM","6:27 PM","7:30 PM","8:44 PM","9:51 PM","10:15 PM","1:35 PM","3:35 PM"
"18","4:09 AM","4:30 AM","5:53 AM","1:22 PM","1:45 PM","6:28 PM","7:30 PM","8:45 PM","9:52 PM","10:15 PM","1:35 PM","3:35 PM"
"19","4:08 AM","4:30 AM","5:52 AM","1:23 PM","1:45 PM","6:28 PM","7:30 PM","8:46 PM","9:53 PM","10:15 PM","1:35 PM","3:35 PM"
"20","4:06 AM","4:30 AM","5:51 AM","1:23 PM","1:45 PM","6:29 PM","7:30 PM","8:47 PM","9:54 PM","10:15 PM","1:35 PM","3:35 PM"
"21","4:05 AM","4:30 AM","5:50 AM","1:23 PM","1:45 PM","6:29 PM","7:30 PM","8:48 PM","9:56 PM","10:15 PM","1:35 PM","3:35 PM"
"22","4:04 AM","4:30 AM","5:49 AM","1:23 PM","1:45 PM","6:30 PM","7:30 PM","8:49 PM","9:57 PM","10:15 PM","1:35 PM","3:35 PM"
"23","4:03 AM","4:30 AM","5:48 AM","1:23 PM","1:45 PM","6:31 PM","7:30 PM","8:50 PM","9:58 PM","10:15 PM","1:35 PM","3:35 PM"
"24","4:02 AM","4:30 AM","5:48 AM","1:23 PM","1:45 PM","6:31 PM","7:30 PM","8:51 PM","9:59 PM","10:15 PM","1:35 PM","3:35 PM"
"25","4:01 AM","4:30 AM","5:47 AM","1:23 PM","1:45 PM","6:32 PM","7:30 PM","8:52 PM","10:00 PM","10:15 PM","1:35 PM","3:35 PM"
"26","4:00 AM","4:15 AM","5:46 AM","1:23 PM","1:45 PM","6:32 PM","7:30 PM","8:53 PM","10:02 PM","10:15 PM","1:35 PM","3:35 PM"
"27","3:59 AM","4:15 AM","5:45 AM","1:23 PM","1:45 PM","6:33 PM","7:30 PM","8:54 PM","10:03 PM","10:15 PM","1:35 PM","3:35 PM"
"28","3:58 AM","4:15 AM","5:45 AM","1:23 PM","1:45 PM","6:33 PM","7:30 PM","8:55 PM","10:04 PM","10:15 PM","1:35 PM","3:35 PM"
