"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","5:57 AM","6:30 AM","7:15 AM","1:07 PM","1:45 PM","5:10 PM","5:45 PM","6:59 PM","8:10 PM","8:45 PM","1:45 PM","3:30 PM"
"2","5:58 AM","6:30 AM","7:17 AM","1:07 PM","1:45 PM","5:09 PM","5:45 PM","6:58 PM","8:08 PM","8:45 PM","1:45 PM","3:30 PM"
"3","5:59 AM","6:30 AM","7:18 AM","1:06 PM","1:45 PM","5:07 PM","5:45 PM","6:56 PM","8:06 PM","8:45 PM","1:45 PM","3:30 PM"
"4","6:00 AM","6:30 AM","7:19 AM","1:06 PM","1:45 PM","5:05 PM","5:45 PM","6:54 PM","8:04 PM","8:45 PM","1:45 PM","3:30 PM"
"5","6:02 AM","6:40 AM","7:20 AM","1:06 PM","1:45 PM","5:04 PM","5:30 PM","6:52 PM","8:02 PM","8:30 PM","1:45 PM","3:30 PM"
"6","6:03 AM","6:40 AM","7:21 AM","1:05 PM","1:45 PM","5:02 PM","5:30 PM","6:51 PM","8:01 PM","8:30 PM","1:45 PM","3:30 PM"
"7","6:04 AM","6:40 AM","7:23 AM","1:05 PM","1:45 PM","5:01 PM","5:30 PM","6:49 PM","7:59 PM","8:30 PM","1:45 PM","3:30 PM"
"8","6:05 AM","6:40 AM","7:24 AM","1:05 PM","1:45 PM","4:59 PM","5:30 PM","6:47 PM","7:57 PM","8:30 PM","1:45 PM","3:30 PM"
"9","6:06 AM","6:40 AM","7:25 AM","1:04 PM","1:45 PM","4:58 PM","5:30 PM","6:45 PM","7:55 PM","8:30 PM","1:45 PM","3:30 PM"
"10","6:07 AM","6:40 AM","7:26 AM","1:04 PM","1:45 PM","4:56 PM","5:30 PM","6:44 PM","7:54 PM","8:30 PM","1:45 PM","3:30 PM"
"11","6:09 AM","6:40 AM","7:27 AM","1:04 PM","1:45 PM","4:55 PM","5:30 PM","6:42 PM","7:52 PM","8:30 PM","1:45 PM","3:30 PM"
"12","6:10 AM","6:40 AM","7:29 AM","1:04 PM","1:45 PM","4:53 PM","5:15 PM","6:40 PM","7:50 PM","8:15 PM","1:45 PM","3:30 PM"
"13","6:11 AM","6:40 AM","7:30 AM","1:03 PM","1:45 PM","4:51 PM","5:15 PM","6:38 PM","7:49 PM","8:15 PM","1:45 PM","3:30 PM"
"14","6:12 AM","6:40 AM","7:31 AM","1:03 PM","1:45 PM","4:50 PM","5:15 PM","6:37 PM","7:47 PM","8:15 PM","1:45 PM","3:30 PM"
"15","6:13 AM","6:40 AM","7:32 AM","1:03 PM","1:45 PM","4:48 PM","5:15 PM","6:35 PM","7:45 PM","8:15 PM","1:45 PM","3:30 PM"
"16","6:15 AM","6:40 AM","7:33 AM","1:03 PM","1:45 PM","4:47 PM","5:15 PM","6:33 PM","7:44 PM","8:15 PM","1:45 PM","3:30 PM"
"17","6:16 AM","6:40 AM","7:35 AM","1:03 PM","1:45 PM","4:45 PM","5:15 PM","6:32 PM","7:42 PM","8:15 PM","1:45 PM","3:30 PM"
"18","6:17 AM","6:40 AM","7:36 AM","1:02 PM","1:45 PM","4:44 PM","5:15 PM","6:30 PM","7:41 PM","8:15 PM","1:45 PM","3:30 PM"
"19","6:18 AM","6:40 AM","7:37 AM","1:02 PM","1:45 PM","4:42 PM","5:15 PM","6:29 PM","7:39 PM","8:15 PM","1:45 PM","3:30 PM"
"20","6:19 AM","6:40 AM","7:38 AM","1:02 PM","1:45 PM","4:41 PM","5:15 PM","6:27 PM","7:38 PM","8:15 PM","1:45 PM","3:30 PM"
"21","6:20 AM","6:40 AM","7:40 AM","1:02 PM","1:45 PM","4:39 PM","5:15 PM","6:25 PM","7:36 PM","8:15 PM","1:45 PM","3:30 PM"
"22","6:22 AM","6:40 AM","7:41 AM","1:02 PM","1:45 PM","4:38 PM","5:15 PM","6:24 PM","7:35 PM","8:15 PM","1:45 PM","3:30 PM"
"23","6:23 AM","6:40 AM","7:42 AM","1:02 PM","1:45 PM","4:37 PM","5:00 PM","6:22 PM","7:33 PM","8:00 PM","1:45 PM","3:30 PM"
"24","6:24 AM","6:40 AM","7:44 AM","1:02 PM","1:45 PM","4:35 PM","5:00 PM","6:21 PM","7:32 PM","8:00 PM","1:45 PM","3:30 PM"
"25","6:25 AM","6:40 AM","7:45 AM","1:01 PM","1:45 PM","4:34 PM","5:00 PM","6:19 PM","7:30 PM","8:00 PM","1:45 PM","3:30 PM"
"26","6:26 AM","6:40 AM","7:46 AM","1:01 PM","1:45 PM","4:32 PM","5:00 PM","6:18 PM","7:29 PM","8:00 PM","1:45 PM","3:30 PM"
"27","6:27 AM","6:40 AM","7:47 AM","1:01 PM","1:45 PM","4:31 PM","5:00 PM","6:16 PM","7:28 PM","8:00 PM","1:45 PM","3:30 PM"
"28","6:29 AM","6:40 AM","7:49 AM","1:01 PM","1:45 PM","4:30 PM","5:00 PM","6:15 PM","7:26 PM","8:00 PM","1:45 PM","3:30 PM"
"29","6:30 AM","6:40 AM","7:50 AM","1:01 PM","1:45 PM","4:28 PM","5:00 PM","6:14 PM","7:25 PM","8:00 PM","1:45 PM","3:30 PM"
"30","6:31 AM","6:50 AM","7:51 AM","1:01 PM","1:45 PM","4:27 PM","5:00 PM","6:12 PM","7:24 PM","8:00 PM","1:45 PM","3:30 PM"
"31","6:32 AM","6:50 AM","7:53 AM","1:01 PM","1:45 PM","4:26 PM","5:00 PM","6:11 PM","7:23 PM","8:00 PM","1:45 PM","3:30 PM"
