"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","5:37 AM","6:15 AM","6:58 AM","1:21 PM","1:45 PM","5:51 PM","6:15 PM","7:47 PM","8:57 PM","9:15 PM","1:45 PM","3:30 PM"
"2","5:35 AM","6:15 AM","6:56 AM","1:21 PM","1:45 PM","5:52 PM","6:15 PM","7:48 PM","8:58 PM","9:15 PM","1:45 PM","3:30 PM"
"3","5:33 AM","6:15 AM","6:55 AM","1:21 PM","1:45 PM","5:52 PM","6:15 PM","7:49 PM","8:59 PM","9:15 PM","1:45 PM","3:30 PM"
"4","5:31 AM","6:15 AM","6:53 AM","1:20 PM","1:45 PM","5:53 PM","6:15 PM","7:50 PM","9:01 PM","9:15 PM","1:45 PM","3:30 PM"
"5","5:29 AM","6:15 AM","6:51 AM","1:20 PM","1:45 PM","5:54 PM","6:15 PM","7:52 PM","9:02 PM","9:15 PM","1:45 PM","3:30 PM"
"6","5:27 AM","6:15 AM","6:49 AM","1:20 PM","1:45 PM","5:55 PM","6:15 PM","7:53 PM","9:04 PM","9:15 PM","1:45 PM","3:30 PM"
"7","5:25 AM","6:00 AM","6:47 AM","1:19 PM","1:45 PM","5:56 PM","6:30 PM","7:54 PM","9:05 PM","9:30 PM","1:45 PM","3:30 PM"
"8","5:23 AM","6:00 AM","6:46 AM","1:19 PM","1:45 PM","5:56 PM","6:30 PM","7:55 PM","9:06 PM","9:30 PM","1:45 PM","3:30 PM"
"9","5:21 AM","6:00 AM","6:44 AM","1:19 PM","1:45 PM","5:57 PM","6:30 PM","7:56 PM","9:08 PM","9:30 PM","1:45 PM","3:30 PM"
"10","5:19 AM","6:00 AM","6:42 AM","1:19 PM","1:45 PM","5:58 PM","6:30 PM","7:58 PM","9:09 PM","9:30 PM","1:45 PM","3:30 PM"
"11","5:17 AM","6:00 AM","6:41 AM","1:18 PM","1:45 PM","5:59 PM","6:30 PM","7:59 PM","9:11 PM","9:30 PM","1:45 PM","3:30 PM"
"12","5:15 AM","6:00 AM","6:39 AM","1:18 PM","1:45 PM","6:00 PM","6:30 PM","8:00 PM","9:12 PM","9:30 PM","1:45 PM","3:30 PM"
"13","5:13 AM","6:00 AM","6:37 AM","1:18 PM","1:45 PM","6:00 PM","6:30 PM","8:01 PM","9:14 PM","9:30 PM","1:45 PM","3:30 PM"
"14","5:11 AM","6:00 AM","6:35 AM","1:18 PM","1:45 PM","6:01 PM","6:30 PM","8:02 PM","9:15 PM","9:30 PM","1:45 PM","3:30 PM"
"15","5:09 AM","5:45 AM","6:34 AM","1:17 PM","1:45 PM","6:02 PM","6:30 PM","8:04 PM","9:17 PM","9:45 PM","1:45 PM","3:30 PM"
"16","5:07 AM","5:45 AM","6:32 AM","1:17 PM","1:45 PM","6:03 PM","6:30 PM","8:05 PM","9:18 PM","9:45 PM","1:45 PM","3:30 PM"
"17","5:05 AM","5:45 AM","6:30 AM","1:17 PM","1:45 PM","6:03 PM","6:30 PM","8:06 PM","9:20 PM","9:45 PM","1:45 PM","3:30 PM"
"18","5:03 AM","5:45 AM","6:29 AM","1:17 PM","1:45 PM","6:04 PM","6:30 PM","8:07 PM","9:21 PM","9:45 PM","1:45 PM","3:30 PM"
"19","5:01 AM","5:45 AM","6:27 AM","1:16 PM","1:45 PM","6:05 PM","6:30 PM","8:08 PM","9:23 PM","9:45 PM","1:45 PM","3:30 PM"
"20","4:59 AM","5:45 AM","6:26 AM","1:16 PM","1:45 PM","6:06 PM","6:30 PM","8:09 PM","9:24 PM","9:45 PM","1:45 PM","3:30 PM"
"21","4:57 AM","5:45 AM","6:24 AM","1:16 PM","1:45 PM","6:06 PM","6:30 PM","8:11 PM","9:26 PM","9:45 PM","1:45 PM","3:30 PM"
"22","4:55 AM","5:45 AM","6:22 AM","1:16 PM","1:45 PM","6:07 PM","6:30 PM","8:12 PM","9:27 PM","9:45 PM","1:45 PM","3:30 PM"
"23","4:53 AM","5:45 AM","6:21 AM","1:16 PM","1:45 PM","6:08 PM","6:30 PM","8:13 PM","9:29 PM","9:45 PM","1:45 PM","3:30 PM"
"24","4:51 AM","5:45 AM","6:19 AM","1:15 PM","1:45 PM","6:08 PM","6:30 PM","8:14 PM","9:30 PM","9:45 PM","1:45 PM","3:30 PM"
"25","4:49 AM","5:45 AM","6:18 AM","1:15 PM","1:45 PM","6:09 PM","6:30 PM","8:15 PM","9:32 PM","9:45 PM","1:45 PM","3:30 PM"
"26","4:47 AM","5:45 AM","6:16 AM","1:15 PM","1:45 PM","6:10 PM","6:30 PM","8:17 PM","9:33 PM","9:45 PM","1:45 PM","3:30 PM"
"27","4:45 AM","5:30 AM","6:15 AM","1:15 PM","1:45 PM","6:11 PM","6:45 PM","8:18 PM","9:35 PM","10:00 PM","1:45 PM","3:30 PM"
"28","4:43 AM","5:30 AM","6:13 AM","1:15 PM","1:45 PM","6:11 PM","6:45 PM","8:19 PM","9:36 PM","10:00 PM","1:45 PM","3:30 PM"
"29","4:41 AM","5:30 AM","6:12 AM","1:15 PM","1:45 PM","6:12 PM","6:45 PM","8:20 PM","9:38 PM","10:00 PM","1:45 PM","3:30 PM"
"30","4:40 AM","5:30 AM","6:10 AM","1:15 PM","1:45 PM","6:13 PM","6:45 PM","8:21 PM","9:40 PM","10:00 PM","1:45 PM","3:30 PM"
